Samples, Lagrange infinity norm, Neural network infinity norm, Loss
2, 0.9615384615134616, 0.9671575427055359, 0.0
4, 0.7070135746358881, 0.6993274092674255, 6.938893903907228e-18
6, 0.43269230766903866, 0.3832888603210449, 8.003320228766597e-14
8, 0.24735860653893138, 0.17826247215270996, 0.0003314045607112348
12, 0.5567751153300315, 0.06709253787994385, 0.0007626360165886581
16, 2.1075611333394844, 0.05084684118628502, 0.0007707831100560725
20, 8.579090824989018, 0.055751826614141464, 0.0007461294298991561
24, 36.41016232790574, 0.05896630510687828, 0.0007258388795889914
32, 0, 0.06301400065422058, 0.0006983905914239585
40, 0, 0.06547966599464417, 0.0006813195068389177
48, 0, 0.0671442449092865, 0.0006697330973111093
